userID,itemID,interaction
0,9372,True
0,11551,False
0,9889,False
0,88794,False
0,133931,False
1,44896,True
1,107811,False
1,157422,False
1,71866,False
1,31306,False
2,322443,True
2,57158,False
2,13497,False
2,45610,False
2,9486,False
3,14877,True
3,7515,False
3,21461,False
3,13498,False
3,11258,False
4,58492,True
4,8413,False
4,752,False
4,95,False
4,24432,False
5,160588,True
5,16651,False
5,304410,False
5,11072,False
5,2502,False
6,12783,True
6,226486,False
6,12155,False
6,8457,False
6,4523,False
7,470,True
7,5723,False
7,27451,False
7,76285,False
7,361398,False
8,175541,True
8,20468,False
8,284293,False
8,23168,False
8,252360,False
9,101299,True
9,32740,False
9,5852,False
9,4953,False
9,11631,False
10,67675,True
10,220490,False
10,77174,False
10,34101,False
10,11863,False
11,38117,True
11,310933,False
11,3558,False
11,12312,False
11,244534,False
12,1781,True
12,10894,False
12,11770,False
12,39037,False
12,304357,False
13,22803,True
13,126509,False
13,16158,False
13,4553,False
13,10748,False
14,1781,True
14,8665,False
14,19366,False
14,11699,False
14,169917,False
15,1587,True
15,43867,False
15,10895,False
15,18734,False
15,44835,False
16,45138,True
16,8346,False
16,314,False
16,82532,False
16,17043,False
17,82703,True
17,290370,False
17,10765,False
17,34592,False
17,115,False
18,9626,True
18,11229,False
18,175574,False
18,13411,False
18,3078,False
19,190859,True
19,7516,False
19,409,False
19,209451,False
19,14275,False
20,36593,True
20,35696,False
20,251,False
20,1729,False
20,773,False
21,347969,True
21,152747,False
21,9598,False
21,54702,False
21,811,False
22,285783,True
22,208763,False
22,2649,False
22,853,False
22,380733,False
23,180,True
23,167073,False
23,10802,False
23,9683,False
23,259693,False
24,127585,True
24,1587,False
24,37950,False
24,77934,False
24,12153,False
25,818,True
25,38167,False
25,52015,False
25,9842,False
25,266102,False
26,8487,True
26,5137,False
26,67911,False
26,15708,False
26,56930,False
27,17995,True
27,138697,False
27,9429,False
27,15647,False
27,9095,False
28,1487,True
28,343795,False
28,357441,False
28,7863,False
28,8847,False
29,25376,True
29,1831,False
29,102382,False
29,9452,False
29,10160,False
30,307081,True
30,549,False
30,260947,False
30,191714,False
30,101267,False
31,319888,True
31,196,False
31,192141,False
31,4349,False
31,84197,False
32,72545,True
32,116741,False
32,57294,False
32,116977,False
32,11011,False
33,49524,True
33,9801,False
33,10734,False
33,16337,False
33,44040,False
34,28211,True
34,25983,False
34,11631,False
34,2011,False
34,7301,False
35,10336,True
35,398,False
35,31005,False
35,9625,False
35,15976,False
36,150540,True
36,90369,False
36,11887,False
36,10426,False
36,3587,False
37,1677,True
37,228203,False
37,10822,False
37,10629,False
37,78814,False
38,4464,True
38,149,False
38,179144,False
38,8838,False
38,9454,False
39,228326,True
39,193603,False
39,37694,False
39,8643,False
39,3059,False
40,10947,True
40,10956,False
40,11056,False
40,274758,False
